Combination,Mean
"((97.0, 97.375), (97.375000001, 97.750000001), (97.750000002, 98.125000002), (98.125000003, 98.500000003))",97.75000000149998
"((97.0, 97.375), (97.375000001, 97.750000001), (97.750000002, 98.125000002), (98.500000004, 98.875000004))",97.84375000175
"((97.0, 97.375), (97.375000001, 97.750000001), (97.750000002, 98.125000002), (98.875000005, 99.250000005))",97.937500002
"((97.0, 97.375), (97.375000001, 97.750000001), (97.750000002, 98.125000002), (99.250000006, 99.625000006))",98.03125000224999
"((97.0, 97.375), (97.375000001, 97.750000001), (97.750000002, 98.125000002), (99.625000007, 100.0))",98.12500000162498
"((97.0, 97.375), (97.375000001, 97.750000001), (97.750000002, 98.125000002), (100.000000001, 100.428571428))",98.22544642937498
"((97.0, 97.375), (97.375000001, 97.750000001), (97.750000002, 98.125000002), (100.428571429, 100.857142857))",98.3325892865
"((97.0, 97.375), (97.375000001, 97.750000001), (97.750000002, 98.125000002), (100.857142858, 101.285714285))",98.439732143625
"((97.0, 97.375), (97.375000001, 97.750000001), (97.750000002, 98.125000002), (101.285714286, 101.714285714))",98.54687500074999
"((97.0, 97.375), (97.375000001, 97.750000001), (97.750000002, 98.125000002), (101.714285715, 102.142857143))",98.65401785799999
"((97.0, 97.375), (97.375000001, 97.750000001), (97.750000002, 98.125000002), (102.142857144, 102.571428571))",98.76116071512499
"((97.0, 97.375), (97.375000001, 97.750000001), (97.750000002, 98.125000002), (102.571428572, 103.0))",98.86830357225
"((97.0, 97.375), (97.375000001, 97.750000001), (98.125000003, 98.500000003), (98.500000004, 98.875000004))",97.937500002
"((97.0, 97.375), (97.375000001, 97.750000001), (98.125000003, 98.500000003), (98.875000005, 99.250000005))",98.03125000224999
"((97.0, 97.375), (97.375000001, 97.750000001), (98.125000003, 98.500000003), (99.250000006, 99.625000006))",98.12500000249999
"((97.0, 97.375), (97.375000001, 97.750000001), (98.125000003, 98.500000003), (99.625000007, 100.0))",98.21875000187498
"((97.0, 97.375), (97.375000001, 97.750000001), (98.125000003, 98.500000003), (100.000000001, 100.428571428))",98.31919642962498
"((97.0, 97.375), (97.375000001, 97.750000001), (98.125000003, 98.500000003), (100.428571429, 100.857142857))",98.42633928675
"((97.0, 97.375), (97.375000001, 97.750000001), (98.125000003, 98.500000003), (100.857142858, 101.285714285))",98.53348214387499
"((97.0, 97.375), (97.375000001, 97.750000001), (98.125000003, 98.500000003), (101.285714286, 101.714285714))",98.64062500099999
"((97.0, 97.375), (97.375000001, 97.750000001), (98.125000003, 98.500000003), (101.714285715, 102.142857143))",98.74776785824999
"((97.0, 97.375), (97.375000001, 97.750000001), (98.125000003, 98.500000003), (102.142857144, 102.571428571))",98.85491071537498
"((97.0, 97.375), (97.375000001, 97.750000001), (98.125000003, 98.500000003), (102.571428572, 103.0))",98.9620535725
"((97.0, 97.375), (97.375000001, 97.750000001), (98.500000004, 98.875000004), (98.875000005, 99.250000005))",98.1250000025
"((97.0, 97.375), (97.375000001, 97.750000001), (98.500000004, 98.875000004), (99.250000006, 99.625000006))",98.21875000275
"((97.0, 97.375), (97.375000001, 97.750000001), (98.500000004, 98.875000004), (99.625000007, 100.0))",98.312500002125
"((97.0, 97.375), (97.375000001, 97.750000001), (98.500000004, 98.875000004), (100.000000001, 100.428571428))",98.412946429875
"((97.0, 97.375), (97.375000001, 97.750000001), (98.500000004, 98.875000004), (100.428571429, 100.857142857))",98.520089287
"((97.0, 97.375), (97.375000001, 97.750000001), (98.500000004, 98.875000004), (100.857142858, 101.285714285))",98.627232144125
"((97.0, 97.375), (97.375000001, 97.750000001), (98.500000004, 98.875000004), (101.285714286, 101.714285714))",98.73437500125
"((97.0, 97.375), (97.375000001, 97.750000001), (98.500000004, 98.875000004), (101.714285715, 102.142857143))",98.8415178585
"((97.0, 97.375), (97.375000001, 97.750000001), (98.500000004, 98.875000004), (102.142857144, 102.571428571))",98.94866071562501
"((97.0, 97.375), (97.375000001, 97.750000001), (98.500000004, 98.875000004), (102.571428572, 103.0))",99.05580357275
"((97.0, 97.375), (97.375000001, 97.750000001), (98.875000005, 99.250000005), (99.250000006, 99.625000006))",98.312500003
"((97.0, 97.375), (97.375000001, 97.750000001), (98.875000005, 99.250000005), (99.625000007, 100.0))",98.406250002375
"((97.0, 97.375), (97.375000001, 97.750000001), (98.875000005, 99.250000005), (100.000000001, 100.428571428))",98.506696430125
"((97.0, 97.375), (97.375000001, 97.750000001), (98.875000005, 99.250000005), (100.428571429, 100.857142857))",98.61383928725
"((97.0, 97.375), (97.375000001, 97.750000001), (98.875000005, 99.250000005), (100.857142858, 101.285714285))",98.720982144375
"((97.0, 97.375), (97.375000001, 97.750000001), (98.875000005, 99.250000005), (101.285714286, 101.714285714))",98.8281250015
"((97.0, 97.375), (97.375000001, 97.750000001), (98.875000005, 99.250000005), (101.714285715, 102.142857143))",98.93526785875
"((97.0, 97.375), (97.375000001, 97.750000001), (98.875000005, 99.250000005), (102.142857144, 102.571428571))",99.04241071587501
"((97.0, 97.375), (97.375000001, 97.750000001), (98.875000005, 99.250000005), (102.571428572, 103.0))",99.14955357299999
"((97.0, 97.375), (97.375000001, 97.750000001), (99.250000006, 99.625000006), (99.625000007, 100.0))",98.500000002625
"((97.0, 97.375), (97.375000001, 97.750000001), (99.250000006, 99.625000006), (100.000000001, 100.428571428))",98.600446430375
"((97.0, 97.375), (97.375000001, 97.750000001), (99.250000006, 99.625000006), (100.428571429, 100.857142857))",98.7075892875
"((97.0, 97.375), (97.375000001, 97.750000001), (99.250000006, 99.625000006), (100.857142858, 101.285714285))",98.814732144625
"((97.0, 97.375), (97.375000001, 97.750000001), (99.250000006, 99.625000006), (101.285714286, 101.714285714))",98.92187500175
"((97.0, 97.375), (97.375000001, 97.750000001), (99.250000006, 99.625000006), (101.714285715, 102.142857143))",99.02901785899999
"((97.0, 97.375), (97.375000001, 97.750000001), (99.250000006, 99.625000006), (102.142857144, 102.571428571))",99.136160716125
